compania,movieId
amazon,s176
hulu,s2949
netflix,s4635
hulu,s456
disney,s151
amazon,s5003
amazon,s8990
netflix,s925
netflix,s3133
netflix,s6100
amazon,s151
hulu,s2891
netflix,s5232
hulu,s20
amazon,s2639
amazon,s3818
netflix,s7494
netflix,s5653
amazon,s1160
netflix,s4549
netflix,s6887
amazon,s7316
netflix,s3700
amazon,s5271
netflix,s7548
hulu,s466
amazon,s7289
netflix,s7668
amazon,s7109
hulu,s1200
netflix,s4040
amazon,s1660
hulu,s1768
disney,s784
amazon,s2495
netflix,s5194
amazon,s6503
amazon,s5290
hulu,s199
disney,s782
netflix,s6971
amazon,s4794
amazon,s9244
amazon,s6504
netflix,s3684
netflix,s6571
amazon,s5097
netflix,s5292
hulu,s1213
amazon,s680
netflix,s1800
netflix,s2358
amazon,s4459
netflix,s6771
netflix,s4127
amazon,s6512
amazon,s6411
amazon,s216
disney,s564
netflix,s6821
netflix,s184
netflix,s7280
disney,s247
hulu,s1174
netflix,s4792
amazon,s1136
netflix,s8574
amazon,s410
hulu,s1290
netflix,s5515
hulu,s1610
hulu,s2558
disney,s361
amazon,s8498
amazon,s67
hulu,s2228
netflix,s1143
amazon,s9471
hulu,s2081
hulu,s252
amazon,s5329
netflix,s5677
hulu,s4
netflix,s2148
netflix,s4599
amazon,s8768
hulu,s2988
hulu,s1789
netflix,s3460
netflix,s7315
netflix,s5043
netflix,s8452
amazon,s3450
amazon,s3586
netflix,s1664
amazon,s7438
hulu,s2807
amazon,s3682
netflix,s6430
hulu,s67
hulu,s2286
amazon,s363
netflix,s7686
amazon,s436
netflix,s12
amazon,s7684
netflix,s731
amazon,s7375
netflix,s7190
netflix,s7716
hulu,s793
netflix,s3617
hulu,s1047
hulu,s2589
amazon,s5610
netflix,s1011
netflix,s8096
hulu,s2717
netflix,s2890
netflix,s6347
netflix,s2703
disney,s1418
amazon,s8530
amazon,s5925
amazon,s1173
disney,s1187
netflix,s3679
amazon,s6385
disney,s637
netflix,s5484
amazon,s4352
netflix,s1674
amazon,s566
netflix,s8306
disney,s944
netflix,s8031
netflix,s3663
amazon,s9542
netflix,s6976
netflix,s7678
amazon,s7077
amazon,s6007
hulu,s1992
amazon,s1682
amazon,s2936
disney,s503
netflix,s1175
netflix,s6864
hulu,s2511
amazon,s8199
amazon,s344
netflix,s2334
netflix,s5101
netflix,s6938
netflix,s561
amazon,s4194
amazon,s3751
amazon,s2454
netflix,s7659
netflix,s3083
amazon,s823
amazon,s6205
amazon,s2836
amazon,s4478
amazon,s6401
amazon,s3949
amazon,s7727
hulu,s1210
netflix,s5604
amazon,s7374
netflix,s1498
amazon,s827
amazon,s9099
amazon,s8567
hulu,s2726
hulu,s1976
netflix,s3301
netflix,s6300
amazon,s9537
netflix,s1244
netflix,s934
netflix,s5181
hulu,s2820
hulu,s1623
amazon,s4833
disney,s926
amazon,s9605
amazon,s2409
netflix,s4874
netflix,s2643
netflix,s2065
netflix,s2789
amazon,s9552
amazon,s3889
amazon,s3923
amazon,s5570
amazon,s1426
amazon,s1071
hulu,s1104
amazon,s2692
disney,s868
netflix,s395
amazon,s5544
amazon,s4466
hulu,s2381
netflix,s6351
hulu,s2732
netflix,s3203
netflix,s3247
netflix,s6682
amazon,s6235
hulu,s1032
netflix,s4332
hulu,s362
netflix,s4153
amazon,s8054
amazon,s4980
amazon,s3099
netflix,s1986
netflix,s8092
hulu,s2983
netflix,s3606
amazon,s7901
netflix,s2381
netflix,s3769
hulu,s1098
hulu,s753
amazon,s5238
netflix,s2510
netflix,s6890
amazon,s3095
hulu,s2993
netflix,s6380
netflix,s8053
amazon,s6136
amazon,s3530
hulu,s287
netflix,s1706
netflix,s7630
amazon,s5733
netflix,s3811
amazon,s9045
amazon,s6535
netflix,s4406
netflix,s596
disney,s732
amazon,s1008
netflix,s6377
amazon,s228
amazon,s5025
amazon,s1726
amazon,s9435
hulu,s801
amazon,s2992
amazon,s2652
netflix,s4003
netflix,s3394
netflix,s4475
netflix,s6937
hulu,s410
netflix,s5155
hulu,s2168
amazon,s8147
amazon,s9209
amazon,s4013
netflix,s6481
amazon,s3402
hulu,s1667
disney,s616
netflix,s236
hulu,s353
amazon,s5116
amazon,s9425
amazon,s8274
amazon,s9040
amazon,s8553
amazon,s3337
amazon,s3075
netflix,s3305
netflix,s5958
netflix,s5862
netflix,s3049
netflix,s2537
amazon,s6678
netflix,s5558
netflix,s2841
netflix,s1329
amazon,s1394
netflix,s640
netflix,s2404
amazon,s8438
disney,s1028
netflix,s4737
amazon,s6718
hulu,s1732
amazon,s4516
netflix,s6266
amazon,s2553
netflix,s5887
disney,s416
hulu,s948
hulu,s179
amazon,s7408
amazon,s3940
netflix,s8323
netflix,s5907
netflix,s7536
amazon,s2067
netflix,s5567
netflix,s2616
amazon,s1972
disney,s81
hulu,s670
hulu,s1415
netflix,s4102
netflix,s1173
netflix,s1871
netflix,s656
netflix,s7233
netflix,s6803
netflix,s406
netflix,s2096
amazon,s5527
hulu,s2431
hulu,s2694
amazon,s8058
amazon,s7800
disney,s208
netflix,s6550
netflix,s4237
amazon,s1119
netflix,s532
amazon,s3981
netflix,s7151
amazon,s3804
netflix,s3965
amazon,s2866
netflix,s6484
amazon,s2886
hulu,s1405
netflix,s3629
amazon,s7286
amazon,s3218
netflix,s2229
netflix,s3150
amazon,s3839
netflix,s4125
netflix,s6214
amazon,s2042
amazon,s2518
hulu,s2291
amazon,s7532
netflix,s4000
amazon,s6707
hulu,s2926
netflix,s1969
netflix,s6177
netflix,s5975
netflix,s8406
amazon,s561
netflix,s6104
netflix,s3312
netflix,s4880
hulu,s2581
amazon,s8330
amazon,s2618
netflix,s276
netflix,s5697
netflix,s1468
netflix,s3033
netflix,s563
hulu,s85
netflix,s2957
amazon,s3138
hulu,s3038
netflix,s6801
amazon,s6313
hulu,s1597
disney,s94
netflix,s4505
netflix,s169
amazon,s6492
netflix,s6316
hulu,s16
amazon,s5730
netflix,s3868
hulu,s6
netflix,s2606
hulu,s2373
hulu,s1743
netflix,s4158
amazon,s8180
disney,s334
amazon,s535
amazon,s2343
amazon,s9468
amazon,s8745
disney,s966
amazon,s5709
netflix,s5739
netflix,s8210
amazon,s6510
hulu,s154
hulu,s2096
netflix,s7851
netflix,s8725
amazon,s5162
hulu,s1197
netflix,s6792
disney,s73
netflix,s8315
hulu,s3032
netflix,s1186
amazon,s7005
amazon,s1553
amazon,s8856
disney,s1209
disney,s1207
amazon,s8248
netflix,s3855
amazon,s8989
amazon,s4694
hulu,s370
netflix,s5247
hulu,s1048
hulu,s1640
amazon,s6828
amazon,s3574
amazon,s8399
hulu,s3053
amazon,s8172
netflix,s4682
amazon,s521
amazon,s1102
amazon,s7748
amazon,s8570
amazon,s6620
netflix,s4799
hulu,s2495
netflix,s5236
netflix,s4074
amazon,s5236
amazon,s4364
amazon,s2109
netflix,s8701
netflix,s5578
netflix,s197
netflix,s4324
amazon,s1501
netflix,s537
amazon,s1722
amazon,s3907
amazon,s7051
disney,s810
disney,s1347
netflix,s2555
amazon,s6075
hulu,s3013
amazon,s8343
disney,s1378
netflix,s8161
amazon,s1843
netflix,s8442
amazon,s5970
netflix,s1409
disney,s465
netflix,s2302
hulu,s534
amazon,s1774
amazon,s2350
netflix,s586
amazon,s1239
amazon,s5912
amazon,s3685
netflix,s7291
hulu,s2663
disney,s635
netflix,s1763
amazon,s8133
netflix,s5869
amazon,s1127
netflix,s1071
netflix,s4899
hulu,s322
disney,s178
amazon,s3157
amazon,s1508
amazon,s2070
netflix,s3066
hulu,s1105
amazon,s872
netflix,s8689
disney,s1244
netflix,s1907
hulu,s1152
netflix,s5414
netflix,s5264
amazon,s2333
netflix,s4456
netflix,s450
netflix,s3906
hulu,s2302
netflix,s3711
netflix,s332
disney,s494
netflix,s1333
hulu,s2471
amazon,s3230
hulu,s756
hulu,s609
amazon,s2108
amazon,s9315
amazon,s7895
netflix,s5357
amazon,s7820
netflix,s1628
hulu,s3069
hulu,s2737
netflix,s3093
netflix,s940
netflix,s4371
amazon,s9447
amazon,s3366
netflix,s1967
amazon,s8265
disney,s1440
amazon,s1115
netflix,s4665
amazon,s6992
amazon,s5606
netflix,s1526
disney,s144
amazon,s5759
netflix,s2699
hulu,s397
netflix,s4716
disney,s1245
disney,s35
amazon,s7731
amazon,s9145
netflix,s529
hulu,s2452
netflix,s6019
hulu,s1224
netflix,s4245
hulu,s1902
netflix,s2505
hulu,s475
netflix,s3304
amazon,s7621
hulu,s2372
netflix,s1342
amazon,s1233
disney,s713
netflix,s4041
netflix,s110
amazon,s5591
netflix,s3107
amazon,s2113
amazon,s4463
hulu,s1638
amazon,s6291
amazon,s2
amazon,s3500
amazon,s3817
netflix,s3058
netflix,s6248
amazon,s9499
disney,s1280
hulu,s2477
amazon,s6865
netflix,s7156
amazon,s1831
netflix,s72
netflix,s3639
disney,s483
amazon,s8577
amazon,s6817
netflix,s602
amazon,s4259
netflix,s270
amazon,s1074
netflix,s446
amazon,s6092
netflix,s8686
